topic,tweetid,text
cnn,7.05E+17,"""#SuperTuesday #CNN reckons Hillary Clinton has jumped to the left during Primaries. Watch her jump back to the right straight after. """
cnn,6.95E+17,"""Angie Vu Playboy Playmate no Lesbo stuff for her #Clinton #Trump #Gop #teaparty #Pjnet #Cnn https://t.co/NTZEpOAJOI https://t.co/9yde6PmmiP """
cnn,7.05E+17,"""#Cnn  #Aclu #AP #Un #Obama  but for the sake of your arguments and show ratings lets pretend thats not true ..#Sanders """
cnn,7.05E+17,"""Basically. #trump #cnn #makedonalddrumphagain #Donaldtrump #SuperTuesday #FeelTheBern #BernieSanders #Bernie2016 https://t.co/8v7kamfMfW """
cnn,7.05E+17,"""#Cnn  #Aclu #AP #Un #Obama  43 million wasted Politics as Usual he should be arrest for deceiving  possible donors and for fraud #Sanders """
cnn,7.05E+17,"""#CNN #MSNBC #FOX This should be avoided at all costs. no?https://t.co/Ab95zjJPyZ """
cnn,7.05E+17,"""#CNN #FoxNews #MSNBC #Democrat #BlackLivesMatter #DonaldTrump drill #HillaryClinton on this one. https://t.co/6jheshXVmE """
cnn,7.05E+17,"""#Cnn  #Aclu #AP #Un #Obama  No just waste all his donors  money who couldn't even afford to send him 20 That makes perfect sense #Sanders """
cnn,7.05E+17,"""#CNN reporting if @BernieSanders wins his key states @HillaryClinton gets 544 to 471 _ªÉ_ #FeelTheBern #SuperTuesday https://t.co/eWopHBUTHf """
cnn,7.05E+17,"""#Cnn  #Aclu #AP #Un #Obama  I think he should be arrested he is a criminal #Sanders """
cnn,7.05E+17,"""#CNN @JohnKingCNN Thinks Bernie can take his campaign to the end. """
cnn,7.05E+17,"""#Cnn  #Aclu #AP #Un #Obama  he is a dirt bag used car sells man from the 80's a Crook #Sanders """
cnn,7.05E+17,"""#CNN trolling for Little Marco because #Hillary will crush his corrupt history https://t.co/sGfCVzVwbb #stoprush #2A https://t.co/sn7yeh5qkF """
cnn,7.05E+17,"""#Cnn  #Aclu #AP #Un #Obama  That'sembarrassing what do they stop black Americans from coming into #Vermont 95% thats an uglynumber #Sanders """
cnn,7.05E+17,"""Turn off the #MSNBC #CNN Pro-Hillary bias &amp; watch the #SuperTuesday #BernieSanders rally instead! #FeelTheBern #Dems https://t.co/CWzHGwsffv """
cnn,7.05E+17,"""#Cnn  #Aclu #AP #Un #Obama  Your not living a life of realityyour living in a Fish Bowl all by yourself's The Islandof whiteVermont #Sanders """
cnn,7.05E+17,"""#Cnn  #Aclu #AP #Un #Obama  You should build  a wall #Vermont and #Sanders to ensure that state stays all white and the 95% never goes down """
cnn,7.05E+17,"""#Cnn  #Aclu #AP #Un #Obama  upsetting Non white voters in the crowd Bahahahahahah 95% that's  shameful ..#Sanders u should build a wall """
cnn,7.05E+17,"""Trump Supporters! If you experience voting ""irregularities"" take picture and send to major media outlets, #CNN #MSNBC #Fox etc. Expose! """
cnn,7.05E+17,"""#cnn poll misrepresented #Trump gets 49 percent plus 52 % of 51% or 76% #read the poll #do the math @realDonaldTrump https://t.co/ABBURiAd4V """
cnn,7.05E+17,"""#SuperTuesday embraces the kkk go media #Hillary #ImWithHer #FeelTheBern #foxnews #cnn #msnbc https://t.co/iVO7BNKyl0 """
cnn,7.05E+17,"""#CNN #MSNBC why don't you cover obstruction of voting polls in MA by @bill clinton https://t.co/jgCtWbnmSU """
cnn,7.05E+17,"""This demonstrative aberration of Trump being beat in different scenarios is a #mediadisease #CNN """
cnn,7.05E+17,"""#CNN projecting the #GOP race over the next month...people don't even need to bother voting, apparently, it's already decided #SuperTuesday """
