,hashtag,count,candidate,sentiment
1658,christie2016,1605,christie,pos
1662,nottrump,1603,trump,neg
1676,clintoncash,1588,clinton,
1677,trumptantrum,1585,trump,
1681,hillaryforamerica,1572,hillary,pos
1683,trumphead,1569,trump,
1685,christiebrinkley,1563,christie,
1699,alwaytrump,1547,trump,
1700,coalitionfortrump,1546,trump,pos
1706,donaldtrumpforpresident,1539,trump,pos
1723,texas4trump,1519,trump,pos
1727,geauxbernie,1515,bern,
1732,supercruzday,1504,cruz,
1735,michiganfortrump,1502,trump,pos
1736,antitrump,1502,trump,neg
1743,trumpmustfall,1498,trump,
1747,hillarysamerica,1496,hillary,
1753,stophillary2016,1493,hillary,neg
1755,hillaryhateswomen,1491,hillary,
1758,senatortedcruz,1487,cruz,
1776,trumpu,1471,trump,
1781,students4trump,1468,trump,pos
1813,trumpbots,1424,trump,
1826,trumpcommunity,1410,trump,
1839,miforbernie,1401,bern,pos
1840,onlyberniebeatstrump,1399,bern,
1844,trustbernie,1392,bern,
1850,caucus4trump,1385,trump,pos
1851,lovetrumpshate,1384,trump,pos
1867,hearthillary,1372,hillary,
1869,viewthebern,1371,bern,
1873,blacks4trump,1368,trump,pos
1883,trumpsc,1352,trump,
1892,bikersfortrump,1344,trump,pos
1908,michiganforbernie,1326,bern,pos
1912,iowa4trump,1323,trump,pos
1915,lovetrump,1320,trump,pos
1916,mississippifortrump,1319,trump,pos
1922,hispanics4trump,1316,trump,pos
1937,votetrumpms,1300,trump,pos
1943,mi4bernie,1294,bern,pos
1958,teamcruz,1283,cruz,pos
1965,nomorebushes,1278,bush,
1972,trumpshowusyourpenis,1275,trump,
1993,imprisonhillary,1262,hillary,neg
1995,thebern,1261,bern,
2001,trumped,1257,trump,
2003,feelinthebern,1255,bern,
2020,janganjaditrump,1239,trump,
2027,berniebots,1234,bern,
2033,berniesandersforpresident,1230,sanders,pos
2034,hillarycorrupt,1230,hillary,
2041,truthberns,1226,bern,
2057,seiuforhillary,1220,hillary,pos
2061,sc4trump,1217,trump,pos
2067,trump_nobel,1211,trump,
2071,votebernienh,1206,bern,pos
2073,cruzrubio,1205,rubio,
2086,trumptuesday,1198,trump,
2087,blackmenforbernie,1197,bern,pos
2097,idahofortrump,1191,trump,pos
2100,ohiofortrump,1188,trump,pos
2104,bernieforjobs,1185,bern,pos
2113,bernieblitz,1180,bern,
2117,teamtrumppa,1177,trump,pos
2131,wewanttrump,1170,trump,
2133,clintonemail,1170,clinton,
2140,boobsforbernie,1166,bern,pos
2142,tedcruzforpresident,1165,cruz,pos
2146,trumppolishworkers,1164,trump,
2150,ohio4trump,1162,trump,pos
2171,onlyonebernie,1144,bern,
2172,dropoutjeb,1142,jeb,neg
2177,nebraskaforbernie,1140,bern,pos
2185,phonytedcruz,1135,cruz,
2189,veterans4trump,1132,trump,pos
2197,whenjebwasgovernor,1129,jeb,
2200,toxictrump,1125,trump,
2209,hillaryemails,1121,hillary,
2210,kkktrump,1121,trump,
2215,heiltrump,1118,trump,
2224,trumpsteaks,1114,trump,
2227,farmersfortrump,1113,trump,pos
2233,nvforbernie,1109,bern,pos
2238,imwithbernie,1106,bern,pos
2243,vote4trump,1102,trump,pos
2244,trump2106,1100,trump,
2245,trumporbustgop,1100,trump,
2249,caucus4trumpnv,1099,trump,pos
2250,womenforhillary,1098,hillary,pos
